"county","annual_pm2.5","percent_lowbirthweight","premature_percentage","cancer_mortality_per_100k","asthma_hosp_rate_per_10k","cardio_hosp_rate_per_10k","median_age","percent_male","percent_high_income","percent_non_hisp_white","percent_non_hisp_black","percent_hisp_white","percent_hisp_black","percent_other","percentage_high_education","lat","lng"
"Nassau",8.7,7.9,9.2,670.6,7.1,169.5,41.8,0.490708339141669,0.711620544296876,0.582997647444308,0.109777549116965,0.0626287115266606,0.00559324786337069,0.239002844048695,0.4748185202132,40.7328,-73.5865
"Suffolk",6.8,8,10,686.7,5.1,173.8,41.7,0.495015095226652,0.668947947243079,0.664415186362687,0.0694800649771044,0.0981465504222593,0.00564675725115857,0.162311440986791,0.383064042785972,40.8686,-72.8448
"Bronx",8.3,10.2,10.3,458.7,28.4,172.5,34.8,0.47389430496737,0.296111942302528,0.0898007303873559,0.284746863979317,0.109466839024643,0.0599375315849624,0.456048035023722,0.209385344662258,40.8501,-73.866
"Kings",7.9,7.8,8.5,479.6,10.7,132.1,35.7,0.476328732174195,0.466243295151395,0.367331032753764,0.286311920246575,0.0536894070108688,0.0182932944004483,0.274374345588344,0.395312603240169,40.6395,-73.9385
"New York",10.4,8,8.7,539.5,8.4,117.3,38.1,0.476294494067857,0.572306517225334,0.467235866414,0.121371231787635,0.0683417139618495,0.019117778335621,0.323933409500895,0.625512227878939,40.7785,-73.9674
"Queens",8.3,8.7,9.1,516,7.8,141.7,39.6,0.488366991154584,0.505002055809023,0.24576742172509,0.168081286897686,0.0903028033884027,0.00994189972521044,0.485906588263611,0.339237978343856,40.7023,-73.8203
"Richmond",7.8,7.8,9.2,651.5,7.9,160.8,40.4,0.488154762628905,0.567168845264499,0.596394116716748,0.0909358183595096,0.0971889357940283,0.00994132126506,0.205539807864654,0.348948427504944,40.5808,-74.1524
"Dutchess",7.7,7.3,9,626.8,6.5,141.6,42.5,0.499793927273219,0.561086499306395,0.699485156007189,0.0988980176479332,0.0532478413037309,0.00699295974487521,0.141376025296272,0.376730718610161,41.7652,-73.7429
"Orange",6.4,7,8.3,534.8,6.7,141.8,37,0.503508864433547,0.557781456953642,0.622411035535569,0.0997496717108947,0.0845491956603068,0.0101913994531444,0.183098697640085,0.314399607265587,41.4022,-74.3056
"Putnam",7.9,6.6,8.7,644.7,4.6,114.9,44.2,0.502552062066149,0.671755504891634,0.763709677419355,0.0294405879951,0.0682625561453655,0.00578807676602695,0.132799101674153,0.414916993918086,41.4267,-73.7495
"Rockland",8.8,5.6,6.3,544.9,4.5,104.4,35.6,0.493549489576058,0.611975215591077,0.628583740731385,0.108192044221882,0.0654382810526472,0.00724252195491627,0.19054341203917,0.419644693111446,41.1525,-74.0242
"Sullivan",7.2,8.6,10.3,617,5.8,181.8,42.3,0.514355106736546,0.417788728484175,0.702441518599003,0.0795986194554519,0.0659082193531893,0.00470407771954493,0.147347564872811,0.270262453907888,41.7164,-74.7681
"Ulster",7.4,7.7,9,665.7,5.1,162.6,44.2,0.498751800816003,0.476430598084108,0.760334759323003,0.0556465891720095,0.0402283049785002,0.00435495045693988,0.139435396069547,0.344790893899542,41.8881,-74.2586
"Westchester",9.3,7.8,9.1,608.6,7.1,136.8,41.2,0.487428017560864,0.624223065587671,0.523886116454258,0.132760774734601,0.0754679046095768,0.0128675643153153,0.255017639886248,0.5064947429005,41.1624,-73.7561
"Albany",7.9,8.2,9.7,655.9,5.7,148.9,38,0.48620657876757,0.494355813206479,0.71001878104354,0.113935152965403,0.0270370758773226,0.00718509973655694,0.141823890377178,0.443196288669554,42.6002,-73.9736
"Columbia",7,6.9,9,822.3,4.7,168.6,48.9,0.503174371214704,0.488774983112807,0.848263432217838,0.0389367886079854,0.021887736048192,0.00165619367723708,0.0892558494487473,0.348847093826373,42.2501,-73.6318
"Greene",6.8,6.5,8.8,790.8,4.8,192.3,46.6,0.527485112230875,0.419288292934502,0.838170990713364,0.0527006204972307,0.0354807812434931,0.00353974930246117,0.0701078582434515,0.256145498837338,42.2765,-74.1227
"Rensselaer",7.5,8.6,10.2,660.5,3.5,148.5,40.1,0.496757176105508,0.514176753440557,0.819972071373158,0.0608471683475562,0.0202513576415826,0.00448099301784329,0.0944484096198603,0.34335092348285,42.7111,-73.5097
"Saratoga",7.7,6.5,8.1,686.4,2.6,130.9,43.2,0.496246968214119,0.590601968741375,0.894259818731118,0.0153738138802604,0.019148121356538,0.00174460661248458,0.0694736394195992,0.426575036752334,43.1074,-73.8639
"Schenectady",7.5,9.2,10.3,642.8,5,153.4,39.9,0.490194584642732,0.472132114420525,0.715741357965908,0.0935402977494207,0.0244484652255341,0.00464717645938482,0.161622702599752,0.332588754417123,42.8181,-74.0586
"Fulton",6.7,8.8,9,770.5,1.7,161.5,44.3,0.500895722923043,0.364268607221813,0.90572516234978,0.0140703142494588,0.0159177427782339,0.00098902739419273,0.0632977532283347,0.182485511912428,43.1138,-74.4222
"Herkimer",6.5,6.4,7.5,701.5,2.6,178.2,44.3,0.498778797280349,0.409966858966491,0.931959205228068,0.0116179285761436,0.0117334477523269,0.000165027394547495,0.0445243910489141,0.214383704978259,43.4193,-74.9624
"Montgomery",6.9,8,9,768.6,3,200.1,40.5,0.49631603383193,0.345480509864072,0.794162175255859,0.0257978562344819,0.0561981469145522,0.00351238418215951,0.120329437412947,0.192296460693844,42.9023,-74.4397
"Otsego",6.4,5.6,7.5,689.4,2.5,178.7,42.2,0.488295562491519,0.399634711332858,0.90398968652463,0.0175736192156331,0.017692359886009,0.00245962817207219,0.0582847062016556,0.333467721614675,42.6338,-75.0326
"Schoharie",6.5,5.1,8.5,696.3,2.5,142.6,45.7,0.49959914484233,0.422873658133774,0.910308658471406,0.0134954569748797,0.0145978086584714,0.00303981827899519,0.058558257616248,0.232390434539872,42.5882,-74.4421
"Clinton",7,8.1,8.7,684.6,2.5,147.1,40.7,0.517036019726575,0.408320207541925,0.897296959860166,0.0388039203445908,0.00690430114239341,0.00126100255946064,0.0557338160933892,0.253801953995903,44.7462,-73.6782
"Essex",3.4,7.3,8.9,726.2,NA,105.8,48.3,0.521772752726594,0.408107420134911,0.912242340204261,0.028825897976054,0.010293058851764,0.00311991680221861,0.0455187861657023,0.3046964094412,44.1172,-73.7726
"Franklin",7.4,6.7,8.5,675.3,1.9,117.5,40.6,0.545524627052254,0.357577716717849,0.810942578548212,0.0506917243103592,0.00825068755729644,0.000708392366030503,0.129406617218101,0.216236700189477,44.5929,-74.3038
"Hamilton",6,0,NA,NA,NA,175.2,56.4,0.505524861878453,0.431708991077557,0.921468034727703,0.00986582478295185,0.010655090765588,0,0.0580110497237569,0.204767879548306,43.6611,-74.4974
